 ERROR root [2025-09-02 14:16:33,465] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:18:01,579] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:19:29,706] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:20:57,818] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:22:25,912] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:23:54,049] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:25:22,263] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:26:50,371] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:28:18,479] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 14:29:46,585] - EndPoint::close: 4:0 0.0.0.0:0.
